Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Abrohom Naḥshirtono	SRP	110	http://syriaca.org/person/110		JW	JW	YES	http://viaf.org/hosted/syriac/36843					36843																																9			Abrohom Naḥshirtono	Abrohom		Naḥshirtono			in barsoum																														106	333	Abraham al-Ṣayyaḍ	Abraham al-Ṣayyaḍ	Abraham		al-Ṣayyaḍ	291	ابراهيم الصياد	ابراهيم		الصياد	JK							686	0686									316	ܐܒܪܗܡ ܢܚܫܝܪܬܢܐ	ܐܒܪܗܡ		ܢܚܫܝܪܬܢܐ	ܐܰܒܪܳܗܡ ܢܰܚܫܝܪܬܳܢܐ	ܐܰܒܪܳܗܡ		ܢܰܚܫܝܪܬܳܢܐ		Barsoum																													Abraham Naḥshirtono	Abraham		Naḥshirtono					00.00.00-686.00.00				0686	686	110	89
Aesop	SRP	322	http://syriaca.org/person/322	NG			YES	http://viaf.org/hosted/syriac/34254					34254	6 C BC. Name was given as Syntipas (Sindbad) in Michael Andreopoulos' Greek translation (alongside the Syriac Sindbad). --NG		discuss	Aesop's work was variously identified in antiquity as that of "Josephus" (by ʿAbdishoʿ), "Sophos" (in Jewish circles), and Sindbad/Syntipas (by Michael Andreopoulos, translating from Syriac to Greek) (see GEDSH 11).	http://syriaca.org/person/577 http://syriaca.org/749					http://viaf.org/viaf/101761945	http://worldcat.org/identities/lccn-n81-66350	http://viaf.org/viaf/241812892	http://viaf.org/viaf/212843915	http://viaf.org/viaf/188207547	http://viaf.org/viaf/140170721	http://viaf.org/viaf/100165551	http://viaf.org/viaf/100165546	http://viaf.org/viaf/97148404	http://viaf.org/viaf/96371953													11	21. Aesop	21	Aesop	Aesop				JW	TAC										6th cent. BC																																																																																														Aesop	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aesop&sT=keywords						6th cent. BC	323	371
Aḥiqar	SRP	323	http://syriaca.org/person/323	NG			YES	http://viaf.org/hosted/syriac/31538					31538										http://viaf.org/viaf/140711966	http://worldcat.org/identities/lccn-nb2005-19073	http://viaf.org/viaf/231283214	http://viaf.org/viaf/88966698	http://viaf.org/viaf/63528699																		11	22. Aḥiqar	22	Aḥiqar	Aḥiqar				JW	mentioned 6, 51, no separate entry																																					50	قصة احيقار	احيقار			TAC	Remove "qissa" for VIAF? - NG																	ܐܚܝܩܪ	ܐܚܝܩܪ			ܐܰܚܝܩܪ	ܐܰܚܝܩܪ																																						Need to enter Arabic - TAC 9/15/2012	Ahikar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Ahikar&sT=keywords							324	370
Aḥob Qaṭraya	SRP	324	http://syriaca.org/person/324		NG		NO														http://viaf.org/viaf/88876790																								12	23. Aḥob Qaṭraya	23	Aḥob Qaṭraya	Aḥob		Qaṭraya		JW	TAC																																																																					Abdisho						ܐܚܘܒ ܩܛܪܝܐ	ܐܚܘܒ		ܩܛܪܝܐ	ܐܲܚܘܼܒ ܩܸܛܪܵܝܵܐ	ܐܲܚܘܼܒ		ܩܸܛܪܵܝܵܐ	76	ܐܝܘܒ ܩܛܪܝܐ	ܐܝܘܒ		ܩܛܪܝܐ	ܐܝܺܘܽܒ ܩܰܛܪܳܝܳܐ	ܐܝܺܘܽܒ		ܩܰܛܪܳܝܳܐ	175	TAC											Ahob of Qatar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Ahob of Qatar&sT=keywords							325	
Aḥudemmeh	SRP	325	http://syriaca.org/person/325		NG		NO	http://viaf.org/viaf/268516463						Not the same as Barsoum entry 62			Not the same as Aḥudemmeh of Balad (http://syriaca.org/person/67)	http://syriaca.org/person/67					http://viaf.org/viaf/45521124																						13	24. Aḥudemmeh	24	Aḥudemmeh	Aḥudemmeh				JW	TAC																																																																					Abdisho						ܐܚܘܗܕܐܡܗ	ܐܚܘܗܕܐܡܗ			ܐܲܚܘܼܗ̇ܕܐܸܡܹܗ	ܐܲܚܘܼܗ̇ܕܐܸܡܹܗ			77	ܐܚܘܗܕܐܡܗ	ܐܚܘܗܕܐܡܗ							192	TAC											Ahoudemmeh of Tagrit	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Ahoudemmeh of Tagrit&sT=keywords							326	
Aḥudemmeh of Balad	SRP	67	http://syriaca.org/person/67	JW		JW	YES	http://viaf.org/hosted/syriac/36175/					36175				Not the same as Aḥudemmeh (http://syriaca.org/person/325)	http://syriaca.org/person/325					http://viaf.org/viaf/89786411	http://viaf.org/viaf/45521124	http://viaf.org/viaf/97613050	http://viaf.org/viaf/49367723	http://viaf.org/viaf/216293174	http://viaf.org/viaf/201354194																	13			Aḥudemmeh of Balad	Aḥudemmeh		of Balad			in barsoum																													JW	62	299	Mar Aḥudemeh	Mar Aḥudemeh	Aḥudemeh		Mar	259	مار احودامه	احودامه		مار	JK			575	0575													285	ܡܪܝ ܐܚܘܕܐܡܗ	ܐܚܘܕܐܡܗ		ܡܪܝ	ܡܳܪܝ ܐܰܚܘܕܶܐܡܗ	ܐܰܚܘܕܶܐܡܗ		ܡܳܪܝ		Other	ܐܚܘܕܐܡܗ			ܐܚܘܕܐܡܗ																																	00.00.00-575.00.00				0575	575	66	40
Aitalaha	SRP	326	http://syriaca.org/person/326		NG		NO							First half of 4 C			Not the same as Aitalaha (http://syriaca.org/person/100)	http://syriaca.org/person/100				AV																							13	26. Aitalaha	26	Aitalaha	Aitalaha				JW	TAC										first half of 4th cent.																																																																																														Aithallah	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aithallah&sT=keywords						first half of 4th cent.	327	
al-Dibs, Yūsuf	SRP	448	http://syriaca.org/person/448		NG		NO	http://viaf.org/viaf/90048443																																			NG	TAC		165. al-Dibs, Yūsuf	165	al-Dibs, Yūsuf	Yūsuf	al-Dibs			JW	TAC		1833	1833			1907	1907																																																																																											al-Dibs, Joseph	Joseph	al-Dibs											1907	395	
al-Duwayhī, Isṭifān	SRP	460	http://syriaca.org/person/460		NG		NO	http://viaf.org/viaf/54237670													http://viaf.org/viaf/175312557																						NG	TAC		180. al-Duwayhī, Isṭifān	180	al-Duwayhī, Isṭifān	Isṭifān	al-Duwayhī			JW	TAC		1630	1630			1704	1704																																																																																																	Stephan al-Duwayhi	http://www.csc.org.il/db/browse.aspx?db=SB&sL=S&sK=Stephan al-Duwayhi&sT=keywords						1704	405	
al-Ḥāqilānī, Ibrāhīm	SRP	524	http://syriaca.org/person/524	NG			YES	http://viaf.org/hosted/syriac/26323					26323										http://viaf.org/viaf/61787613	http://worldcat.org/identities/lccn-n84-216295	http://viaf.org/viaf/218661373	http://viaf.org/viaf/214171781	http://viaf.org/viaf/90348620																			248. al-Ḥāqilānī, Ibrāhīm	248	al-Ḥāqilānī, Ibrāhīm	Ibrāhīm		al-Ḥāqilānī		JW	TAC						1664	1664																																																																																											al-Ḥāqilānī, Abraham	Abraham		al-Ḥāqilānī			Abraham Ecchellensis	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham Ecchellensis&sT=keywords	1605.02.18-1664.07.15		1605-02-18		1664-07-15	1664	449	398
al-Rāhib, Elias	SRP	700	http://syriaca.org/person/700		NG		NO							Not the same as Barsoum #59, who fl. 6 C			Not the same as Eliya (1) (http://syriaca.org/person/63), Eliya I (http://syriaca.org/person/119), or Eliya (http://syriaca.org/person/945)	http://syriaca.org/person/63				AV																								452. al-Rāhib, Elias	452	al-Rāhib, Elias	Elias	al-Rāhib			JW	TAC		1860	1860			1949	1949																																																																																											al-Rāhib, Elijah	Elijah	al-Rāhib											1949	560	
al-Ṣahyūnī, Jibrāʾīl	SRP	712	http://syriaca.org/person/712		NG		NO														http://viaf.org/viaf/89429922	?	http://viaf.org/viaf/89429922																				NG	TAC		464. al-Ṣahyūnī, Jibrāʾīl	464	al-Ṣahyūnī, Jibrāʾīl	Jibrāʾīl		al-Ṣahyūnī		JW	TAC																																																																																																		al-Ṣahyūnī, Gabriel	Gabriel		al-Ṣahyūnī											569	
Albonesi, Teseo Ambrogio degli	SRP	327	http://syriaca.org/person/327		NG		NO	http://viaf.org/viaf/363950						Should family name be listed as "degli Albonesi"? - NG That makes sense with Italian grammar, but not with VIAF's alphabetization - TAC		?																											NG	TAC	13	27. Albonesi, Teseo Ambrogio degli	27	Albonesi, Teseo Ambrogio degli	Teseo Ambrogio	degli Albonesi			JW	TAC		1469	1469			ca. 1540	1540																																																																																																								ca. 1540	328	
Anṭun of Tagrit	SRP	154	http://syriaca.org/person/154	JW			YES	http://viaf.org/hosted/syriac/25090					25090										http://viaf.org/viaf/35993450	http://worldcat.org/identities/lccn-n88-20076	http://viaf.org/viaf/107784733	http://viaf.org/viaf/59064613	http://viaf.org/viaf/219224753	http://viaf.org/viaf/97626856																	23			Anṭun of Tagrit	Anṭun		of Tagrit			in barsoum																													JW	153	383	Rabban Anton of Takrit	Rabban Anton of Takrit	Anton		Rabban, of Takrit	336	الربان انطون التكريتي	انطون		التكريتي , الربان	JK																	364	ܪܒܢ ܐܢܛܘܢ ܬܓܪܝܬܝܐ	ܐܢܛܘܢ		ܪܒܢ ܬܓܪܝܬܝܐ	ܪܰܒܢ ܐܰܢܛܘܢ ܬܰܓܪܝܬܳܝܐ	ܐܰܢܛܘܢ		ܪܰܒܢ ܬܰܓܪܝܬܳܝܐ		Other	ܐܢܛܘܢ ܬܓܪܝܬܝܐ	ܐܢܛܘܢ		ܬܓܪܝܬܝܐ																															Antony of Tagrit	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Antony of Tagrit&sT=keywords	700.00.00-800.00.00		0700		0800	0800	154	26
Aphrahaṭ	SRP	10	http://syriaca.org/person/10	DAM			YES	http://viaf.org/hosted/syriac/29980					29980										http://viaf.org/viaf/37707408	http://worldcat.org/identities/lccn-n50-41616																					24			Aphrahaṭ	Aphrahaṭ					in barsoum 																													JW	8	228	Aphrahat the Persian	Aphrahat the Persian	Aphrahat		the Persian	195	افرهاط الفارسي	افرهاط		الفارسي	JK 			364	0364													217	ܐܦܪܗܛ ܦܪܣܝܐ	ܐܦܪܗܛ		ܦܪܣܝܐ	ܐܰܦܪܗܰܛ ܦܳܪܣܳܝܐ	ܐܰܦܪܗܰܛ		ܦܳܪܣܳܝܐ			ܐܦܪܗܛ	ܐܦܪܗܛ				ܐܦܪܗܛ	ܐܦܪܗܛ			ܐܲܦܪܵܗܵܛ	ܐܲܦܪܵܗܵܛ			71	ܐܦܪܗܛ	ܐܦܪܗܛ							85	TAC											Aphrahat	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aphrahat&sT=keywords	270.00.00-350.00.00		0270		0350	364	10	375
Aqaq	SRP	338	http://syriaca.org/person/338		NG		NO							Late 5 C								AV																							27	41. Aqaq	41	Aqaq	Aqaq				JW	TAC										late 5th cent.																																																											Other	ܐܩܩ	ܐܩܩ				ܡܪܝ ܐܩܩ	ܐܩܩ		ܡܪܝ	ܡܵܪܝ ܐܵܩܵܩ	ܐܵܩܵܩ		ܡܵܪܝ	69	ܡܪܝ ܐܩܩ	ܐܩܩ		ܡܪܝ					51	TAC											Aqaq	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aqaq&sT=keywords						late 5th cent.	331	
