New URI	Syriaca Matched URI	relation possibly-identical	persName syriaca-headword.en	persName syriaca-headword.Source 1.syr	Alphabetize by	Source 1	citedRange pp.Source 1	sex.Source 2.en	Source 2	citedRange pp.Source 2	trait.en	note abstract.Source 3.en	persName anonymous-description.Source 3.en	Source 3	citedRange pp.Source 3	floruit.Source 4.en	floruit when.Source 4	floruit notBefore.Source 4	floruit notAfter.Source 4	death.Source 4.en	death notBefore.Source 4	death notAfter.Source 4	Source 4	citedRange pp.Source 4	citedRange section.Source 4	citedRange URL.Source 4	persName.Source 5.en	Source 5	citedRange pp.Source 5	citedRange entry.Source 5	citedRange URI.Source 5	idno URI		NOTES
3115			Anonymi 3115								anonymous		People circulating forged letters of Severus in the years following his deposition, c. A.D. 519-521	669	448	519-521		0519	0521				669	448										
3116			Anonymi 3116								anonymous		Some ascetics and solitaries in Oribane and Chalane who received a letter from Basil the Great	669	449	mid 4th century		0325	0379				1678	339										
3117			Anonymi 3117								anonymous		Those in Neocaesarea who received a letter from Basil the Great refuting accusations against him	669	449	mid 4th century		0325	0379				1678	339										
3118			Sannus	ܣܐܢܘܣ		666	195	M	668	176		Deacon whose ordination was called into question over misappropriation of funds.		668	176-78	first 1/2 6th century		500	550				668	176										
3119			Anonymous 3119					M	669	457	anonymous		The father of Georgia and husband of Anastasia	669	457	first 1/4 6th century		0500	0550				669	457										
3120			Anonymous 3120					M	668	196	anonymous		The father of Sergius	668	196	537	0537						668	196										
3121			Anonymous 3121					F	668	196	anonymous		The wife or concubine of the father of Sergius	668	196	537	0537						668	196										
3122			Anonymous 3122					M	668	196	anonymous		The man who ordained Sergius	668	196	early 6th century		0500	0550				668	196										
3123			Anonymous 3123					F	668	196	anonymous		The second wife of Anatolius	668	196	537	0537						668	196										
3124			Anonymi 3124								anonymous		The children of Podolirius whom he taught to play the harp and dance	668	197	537	0537						668	197										
3125			Judas	ܝܗܘܕܐ		667	305	M	669	271		The apostle, martyr, and brother of James		669	271	1st century		001	100															
3126			Anonymi 3126					F	669	270-271	anonymous		The holy virgins exiled from Antioch in September A.D. 537	669	270-271	537	0537						669	270-271										
3127			Anonymi 3127					F	669	271	anonymous		Freewomen discussed by Andrew and Severus in September A.D. 537	669	271	537	0537						669	271										
3128			Anonymous 3128					M	669	271	anonymous		The cousin of certain freewomen who was buried in the martyr's chapel of the holy Peter	669	271					before A.D. 537		0537	669	271										
3129			Anonymi 3129								anonymous		Those with Asterias when he met with Severus	668	4	508-511		0508	0511				668	3										
3130			Anonymi 3130								anonymous		Those present at the Council of Chalcedon in A.D. 451	668	6	451	0451						668	6										
3131			Anonymi 3131								anonymous		The holy fathers and orthodox persons of Palestine who persuaded Epiphanius to perform ordinations in Palestine	668	8	late 5th century		0450	0500				668	8										
3132			Anonymi 3132					M	668	9	anonymous		Priests ordained by Eusebius, the Bishop of Samosata outside his jurisdiction during a time of persecution	668	9	mid 4th century		325	380				668	9										
3133			Anonymi 3133					M	668	9	anonymous		The bishops from outside of Cappadocia who ordained Basil of Caesarea bishop	668	9	370	0370						1678	339										
3134			Anonymi 3134					M	668	13	anonymous		The bishops of Cappadocia who were adversely disposed toward Basil of Caesarea due to their attachment to Arius	668	13	370	0370						1678	339										
3135			Anonymi 3135					M	668	13	anonymous		The clergy who ordained Solon bishop of Seleucia in Isauria	668	13	first 1/4 6th century		0500	0525				668	13										
3136			Anonymi 3136					M	668	15	anonymous		Those who departed from Gregory the Theologian and ordained people within his jurisdiction	668	15	4th century		0300	0400				668	15										
