New URI	Syriaca Matched URI	relation possibly-identical	idno temporary	persName syriaca-headword.en-x-gedsh	persName.en-x-gedsh	note abstract.en	trait.en	persName syriaca-headword.Source 4.syr	Source 4	citedRange pp.Source 4	persName.Source 5.en	persName.Source 5.en	sex.Source 5.en	state office.Source 5.en	Source 5	citedRange section.Source 5	persName syriaca-headword.Source 1.syr	persName.Source 2.en	persName.Source 2.en	persName.Source 1.syr	person ana	sex.Source 2.en	state office.Source 2.en	Source 1	citedRange pp.Source 1	Source 2	citedRange section.Source 2	birth.Source 2.en	birth when.Source 2	birth notBefore.Source 2	birth notAfter.Source 2	death.Source 2.en	death when.Source 2	death notBefore.Source 2	death notAfter.Source2	death.Source 5.en	death when.Source 5	death notBefore.Source 5	death notAfter.Source5	floruit.Source 2.en	floruit when.Source 2	floruit notBefore.Source 2	floruit notAfter.Source 2	idno URI	Other references	idno PLRE	Source 3	citedRange vol.Source 3	citedRange pp.Source 3
2218			/Anonymi18	Two synkelli who survived the earthquake in Nicopolis in 498/9		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Two synkelli who survived the earthquake in Nicopolis in 498/9				M	Synkelli	633	8	657	76													498/9		0498	0499						
2219			/Anonymi19	Those wishing to remove the book placed in the coffin of Euphemia the Martyr by the Council of Chalcedon		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Those wishing to remove the book placed in the coffin of Euphemia the Martyr by the Council of Chalcedon						633	9	657	83													511/2		0511	0512						
2220			/Anonymi2	The wise men of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The wise men of Edessa					Government officials	633	1	657	8													November 201	0201-11								
2221			/Anonymi20	The monks of the east		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The monks of the east					Monks	633	10	657	90													0522-12-24	0522-12-24								
2222			/Anonymi21	The great men of the city of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The great men of the city of Edessa						633	13	657	105													May 540	0540-05								
2223			/Anonymi22	The Parthians		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous										ܦܪ̈ܬܘܝܐ	The Parthians						633	3	657	7													165/6		0165	0166						
2224			/Anonymi23	The Huns who entered Roman territory in July 395		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Huns who entered Roman territory in July 395						633	6	657	40													July 395	0395-07								
2225			/Anonymi24	Participants in the School of the Persians who were removed from Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Participants in the School of the Persians who were removed from Edessa						633	8	657	73													488/9		0488	0489						
2226			/Anonymi25	The Roman army commanded by Demosthenes in July 531		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Roman army commanded by Demosthenes in July 531						633	12	657	100													July 531	0531-07								
2227			/Anonymi26	The Huns who entered Roman territory on 18 December 531		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Huns who entered Roman territory on 18 December 531						633	12	657	101													0531-12-18	0531-12-18								
2209			/Anonymi27	The orthodox who returned to the city of Edessa in December 377 after being persecuted by the Arians		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The orthodox who returned to the city of Edessa in December 377 after being persecuted by the Arians						633	5	657	33													December 377	0377-12								
2314			/Anonymi28	The Bishops assembled at the Second Council		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Bishops assembled at the Second Council of Ephesus					Bishops	633	7	657	63													429	0429								
2228			/Anonymi3	The two thousand people killed by flooding in Edessa in November A. D. 201		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The two thousand people killed by flooding in Edessa in November A. D. 201						633	1	657	8													November 201	0201-11								
2229			/Anonymi4	The craftsmen of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The craftsmen of Edessa					Artisans	633	2	657	8													November 201	0201-11								
2230			/Anonymi5	The measurers and men of skill of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The measurers and men of skill of Edessa					Artisans	633	2	657	8													November 201	0201-11								
2231			/Anonymi6	Those who live in the portico in Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Those who live in the portico in Edessa						633	2	657	8													November 201	0201-11								
2232			/Anonymi7	The islanders of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The islanders of Edessa					Watchmen	633	2	657	8													November 201	0201-11								
2233			/Anonymi8	The nobles of Abgar VIII		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The nobles of Abgar VIII					Government officials	633	3	657	8													November 201	0201-11								
2234			/Anonymous1	The sister of Ephrem		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The sister of Ephrem				F		633	6	657	47													4th century		0300	0400						
2235			/Anonymous2	The bishop of Nicopolis who survived the earthquake in 498/9		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The bishop of Nicopolis who survived the earthquake in 498/9				M	Bishop of Nicopolis	633	8	657	76													498/9		0498	0499						
2236			/Asclepius	Asclepius	Asqlep			ܐܣܩܠܝܦ	633	10	Asclepius	Asklepios	M	Bishop of Edessa	657	89								633	11	657	92					6/27/0525	0525-06-27											https://en.wikipedia.org/wiki/Asclepius_of_Edessa	Asclepius 6: PLRE II 163	Asclepius 6	673	II	163
2238			/Augustus	Augustus	Agusṭos												ܐܓܘܣܛܣ	Augustus Caesar				M	Emperor of Rome	633	3	657	2													mid 1st century BC		-0075	-0025	https://en.wikipedia.org/wiki/Augustus					
2239			/BarDin	Bardin													ܒܪܕܝܢ					M	Prefect over the archives of Edessa	633	3	657	8													November 201	0201-11								
2240		1626	/Barlāhā	Barlaha													ܒܪܠܗܐ	Mar Barlāhā	Mar Barlaha		#syriaca-saint	M		633	6	657	48																						
2241			/Barsā	Barsa				ܒܪܣܐ	633	5	Barses		M	Bishop of Edessa	657	32							Transfered from Harran to Edessa	633	4	657	25									March 378	0378-03			360/1		0360	0361						
2243			/Bulid	Bulid													ܒܘܠܝܕ					M	Prefect over the archives of Edessa	633	3	657	8													November 201	0201-11								
2244			/Chosroes	Khusrau I Anushirwan	Kusron												ܟܣܪܘܢ					M	Shah of Persia	633	13	657	105													540	0540			https://en.wikipedia.org/wiki/Khosrau_II	Chosroes I: PLRE II 293	Chosroes I	673	II	293
2245			/Christ	Jesus	Ishoʿ													Our Lord				M		633	3	657	3	-3/2		-0003	-0002													https://en.wikipedia.org/?title=Jesus					
2246			/Commodus	Commodus																		M		633	3	657	7													165/6		0165	0166	https://en.wikipedia.org/?title=Commodus					
2247			/Conon	Quna													ܩܘܢܐ	Conon				M	Bishop of Edessa	633	4	657	12													312/3		0312	0313	https://en.wikipedia.org/wiki/Conon_of_Edessa					
	1655		/Constantine	Constantine I	Qusṭanṭinos												ܩܘܣܛܢܛܝܢܘܣ					M		633	4	657	19																	https://en.wikipedia.org/wiki/Constantine_the_Great	Fl. Val. Constantinus 4: PLRE I 223-24	Fl. Val. Constantinus 4	672	I	223-24
2249			/Constantius	Constantius II	Qusṭanṭis												ܩܘܣܛܢܛܝܣ					M		633	4	657	19													348/9		0348	0349	https://en.wikipedia.org/wiki/Constantius_II	Fl. Iul. Constantius 8: PLRE I 226	Fl. Iul. Constantius 8	672	I	226
	1650		/Cosmas	Qozma													ܩܘܙܡܐ	Mar Cosmas			#syriaca-saint	M		633	8	657	68																	https://en.wikipedia.org/wiki/Saints_Cosmas_and_Damian					
2251			/CyrusI	Qura I				ܩܘܪܐ	633	5	Mar Cyrus		M	Bishop of Edessa	657	38								633	6	657	41					July 396	0396-07											https://en.wikipedia.org/wiki/Cyrus_I_of_Edessa					
2253			/CyrusII	Qura II				ܩܘܪܐ	633	8			M	Bishop of Edessa	657	71								633	8	657	75					6/6/0498	0498-06-06											https://en.wikipedia.org/wiki/Cyrus_II_of_Edessa					
	1669		/Damian	Damyana													ܕܡܝܢܐ	Mar Damian			#syriaca-saint	M		633	8	657	68																	https://en.wikipedia.org/wiki/Saints_Cosmas_and_Damian					
	1671		/Daniel	Daniel													ܕܢܝܐܝܠ	Mar Daniel			#syriaca-saint	M		633	5	657	34																						
2257			/DanielHarran	Daniel of Harran													ܕܢܝܐܝܠ ܕܚܪܢ					M		633	7	657	63																						
2258			/Demet-or-Demetrios	Demeṭ													ܕܝܡܛ	Mar Demet			#syriaca-saint	M		633	5	657	34																						
2259			/DemosthenesPLREII353	Demosthenes	Demasten			ܕܝܡܣܬܢ	633	12	Demosthenes		M		657	100								633	12	657	101					1/10/0532	0532-01-10												Fl. Theodorus Petrus Demosthenes 4: PLRE II 353-54	Fl. Theodorus Petrus Demosthenes 4	673	II	353-54
2261			/Diocletian	Diocletian	Diqliṭinos												ܕܝܩܠܝܛܝܢܘܣ	Diocletian the king				M	Emperor of Rome	633	3 -- 4	657	11													May 303	0303-05			https://en.wikipedia.org/wiki/Diocletian	C. Aur. Val. Diocletianus 2: PLRE I 253-54	C. Aur. Val. Diocletianus 2	672	I	253-54
2262			/Diogenes	Diogenes													ܕܝܘܓܢܝܣ	Digenis				M	Bishop of Edessa	633	6	657	48													403/4		0403	0404	https://en.wikipedia.org/wiki/Diogenes_of_Edessa					
2263			/DioscorusAlexandria	Dioscorus	Diasqara												ܕܝܣܩܪܐ	Diāsqārā				M	Bishop of Alexandria	633	7	657	62													444/5		0444	0445	https://en.wikipedia.org/wiki/Pope_Dioscorus_I_of_Alexandria					
2264			/DomnusAntioch	Domnus of Antioch	Dumna of Antioch												ܕܘܡܢܐ ܕܐܢܛܝܟܝܐ	Dumyā				M		633	7	657	63																	https://en.wikipedia.org/wiki/Domnus_II_of_Antioch					
2265			/EmperorAnastasios	Anastasios I	Anasṭos												ܐܢܣܛܘܣ	Anastasios the king	Anastos			M	Emperor of Rome	633	9	657	77													early 6th century		0500	0550	https://en.wikipedia.org/wiki/Anastasius_I_Dicorus	Anastasius 4: PLRE II 78-80	Anastasius 4	673	II	78-80
2266			/EmperorArcadius	Arcadius	Arqadis												ܐܪܩܕܝܣ					M	Emperor of Rome	633	5	657	39													395	0395			https://en.wikipedia.org/wiki/Arcadius	Flavius Arcadius 5: PLRE I 99	Flavius Arcadius 5	672	I	99
2267			/EmperorHonorios	Honorios	Anaris												ܐܢܪܝܣ					M	Emperor of Rome	633	13	657	106													March 413	0413-03			https://en.wikipedia.org/wiki/Honorius_(emperor)	Fl. Honorius 3: PLRE I 442	Fl. Honorius 3	672	I	442
2268			/EmperorJustin	Justin I	Yustina			ܝܘܣܛܝܢܐ	633	9	Iustinā		M	Emperor of Rome	657	86								633	12	657	98					8/10/0527	0527-08-10											https://en.wikipedia.org/wiki/Justin_I	Iustinus 4: PLRE II 648-51	Iustinus 4	673	II	648-51
2270			/EmperorLeo	Leo I	Leon												ܠܐܘܢ	Leon				M	Emperor of Rome	633	8	657	70													465/6		0465	0466	https://en.wikipedia.org/wiki/Leo_I_the_Thracian	Leo 6: PLRE II 663-64	Leo 6	673	II	663-64
2271			/EmperorTheodosius	Theodosius I	Tawdasis			ܬܐܘܕܣܝܣ	633	5	Theodosius the Great		M	Emperor of Rome	657	34		Theodosios the Great King						633	5	657	39					1/17/0395	0395-01-17											https://en.wikipedia.org/wiki/Theodosius_I	Flavius Theodosius 4: PLRE I 904-05	Flavius Theodosius 4	672	I	904-05
2273			/EmperorZeno	Zeno	Zinon												ܙܝܢܘܢ					M	Emperor of Rome	633	8	657	72													483/4		0483	0484	https://en.wikipedia.org/wiki/Zeno_(emperor)	Fl. Zenon 7: PLRE II 1200-02	Fl. Zenon 7	673	II	1200-02
2274			/EphremAmida	Ephrem of Amida													ܐܦܪܝܡ ܐܡܕܝܐ	Ephraim				M	Patriarch of Antioch	633	12	657	97													May 526	0526-05			https://en.wikipedia.org/wiki/Ephraim_of_Antioch	Ephraemius: PLRE II 394-96	Ephraemius	673	II	394-96
	1718		/Eulogios	Eulogios	Ewlogis			ܐܘܠܓܝܣ	633	5	Mar Eulogios		M	Bishop of Edessa	657	34								633	5	657	37					4/23/0387	0387-04-23											https://en.wikipedia.org/wiki/Eulogius_of_Edessa					
2277			/Euphemius	Euphemios	Ewpemis												ܐܘܦܝܡܝܣ	Euphemius				M	Bishop of Constantinople	633	9	657	77													498/9		0498	0499	https://en.wikipedia.org/wiki/Euphemius_of_Constantinople					
2278			/EuphrasiusAntioch	Euphrasios	Ewpras			ܐܘܦܪܣ	633	11	Euphrasius		M	Patriarch of Antioch	657	92								633	12	657	97					5/29/0526	0526-05-29											https://en.wikipedia.org/wiki/Euphrasius_of_Antioch					
2280			/EusebiusDorylaeum	Eusebius of Dorylaeum	Ewsebis of Deorleon												ܐܘܣܒܝܣ ܕܕܐܘܪܠܝܘܢ					M		633	7	657	63																	https://en.wikipedia.org/wiki/Eusebius_of_Dorylaeum	Eusebius 15: PLRE II 430-31	Eusebius 15	673	II	430-31
2281			/Fl.Patricius14PLREII840	Patricius	Paṭriq												ܦܛܪܝܩ					M		633	10	657	89													early 6th century		0500	0550	https://en.wikipedia.org/wiki/Patricius_(consul_500)	Fl. Patricius 14: PLRE II 840-42	Fl. Patricius 14	673	II	840-42
2282			/FlavianConstantinople	Flavian	Flawyanos												ܦܠܘܝܢܣ					M	Bishop of Constantinople	633	7	657	63																	https://en.wikipedia.org/wiki/Archbishop_Flavian_of_Constantinople					
2283			/Julian	Julian	Yulyana												ܝܘܠܝܢܘܣ	Julian the Apostate				M		633	4	657	26					June 363	0363-06											https://en.wikipedia.org/wiki/Julian_(emperor)	Fl. Claudius Iulianus 29: PLRE I 477-78	Fl. Claudius Iulianus 29	672	I	477-78
2284			/JustinianI	Justinian I	Yusṭinina												ܝܘܣܛܝܢܝܢܐ	Mar Justinian the Patrician		ܡܪܝ ܝܘܣܛܝܢܝܢܐ ܦܛܪܝܩܝܘܣ		M	Emperor of Rome	633	11	657	93													mid 6th century		0525	0575	https://en.wikipedia.org/wiki/Justinian_I	Fl. Petrus Sabbatius Iustianus 7: PLRE II 645-48	Fl. Petrus Sabbatius Iustianus 7	673	II	645-48
2285			/Kaiuma	Qayuma bar Magarṭaṭ													ܩܝܘܡܐ ܒܪ ܡܓܪܛܛ					M	Scribe of Edessa	633	3	657	8													November 201	0201-11								
2286			/Kavad	Kavad	Qawad												ܩܘܕ	Cavades				M	Shah of Persia	633	9	657	80													503	0503			https://en.wikipedia.org/wiki/Kavadh_I	Cavades I: PLRE II 273-74	Cavades I	673	II	273-74
2287			/Leontios	Leontios	Leontis												ܠܐܘܢܛܝܣ					M	Usurper of the imperial throne	633	8	657	72													470/1		0470	0471	https://en.wikipedia.org/wiki/Leontius_(usurper)	Leontius 17: PLRE II 670-71	Leontius 17	673	II	670-71
2288			/LuciusVerus	Lucius Verus	Luqis												ܠܘܩܝܣ	Lucius Caesar				M	Emperor of Rome	633	3	657	7													165/6		0165	0166	https://en.wikipedia.org/wiki/Lucius_Verus					
2289			/Macedon	Macedonios II	Maqedon												ܡܩܕܘܢ	Macedon	Macedonius			M	Bishop of Constantinople	633	9	657	77													498/9		0498	0499	https://en.wikipedia.org/wiki/Macedonius_II_of_Constantinople					
	1466		/MarSargis	Sargis													ܣܪܓܝܣ	Mar Sergios	Mar Sergius		#syriaca-saint	M	Saint	633	9	657	81																						
2291			/Maʿnu	Maʿnu													ܡܥܢܘ	Maano					King of Edessa	633	1	657	8																						
2292			/Nonos	Nona				ܢܘܢܐ	633	7	Nonnus	Nonos	M	Bishop of Edessa	657	64								633	8	657	71					470-1		0470	0471									https://en.wikipedia.org/wiki/Saint_Nonnus					
2294			/Pakidā	Paqida				ܦܩܝܕܐ	633	6	Mar Pakidā 		M	Bishop of Edessa	657	44								633	6	657	49					August 409	0409-08											https://en.wikipedia.org/wiki/Pakida_of_Edessa					
2296			/PaulBpEdessa	Pawla													ܦܘܠܐ					M	Bishop of Edessa	633	9	657	82													early 6th century		0500	0550	https://en.wikipedia.org/wiki/Paul_of_Edessa					
2297		32	/Peter	Peṭra				ܦܛܪܐ	633	8	Peter		M	Bishop of Edessa	657	75								633	9	657	82					4/10/0510	0510-04-10											https://en.wikipedia.org/wiki/Peter_of_Edessa					
2299			/PopeLeo	Leo	Leon												ܠܐܘܢ	Pope Leo	Leo of Rome			M	Bishop of Rome	633	7	657	65													448/9		0448	0449	https://en.wikipedia.org/wiki/Pope_Leo_I					
2300			/Rufinus13PLREII954	Rufinus	Rufina												ܪܘܦܝܢܐ	Mar Rufinus the Patrician		ܡܪܝ ܪܘܦܝܢܐ ܦܛܪܝܩܝܘܣ		M	Patrician	633	13	657	102													September 532	0532-09				Rufinus 13: PLRE II 954	Rufinus 13	673	II	954
2301			/SenatorPLREII990	Senator	Senaṭora												ܣܢܛܘܪܐ					M		633	7	657	60													437/8		0437	0438		Fl. Senator 4: PLRE II 990	Fl. Senator 4	673	II	990
2302			/Severus	Severus Alexander	Sewerus												ܣܘܪܘܣ	Severus				M	Emperor of Rome	633	1	657	8																	https://en.wikipedia.org/wiki/Severus_Alexander					
2303			/Shaʿad	Shaʿad													ܫܥܕ					M	Bishop of Edessa	633	4	657	12													312/3		0312	0313	https://en.wikipedia.org/wiki/Sha%27ad_of_Edessa					
2304			/Silwanā	Silwana				ܣܠܘܢܐ	633	6	Mar Silvanus	Mar Silwano	M	Bishop of Edessa	657	42								633	6	657	43					October 398	0398-10											https://en.wikipedia.org/wiki/Silvanus_of_Edessa					
2306			/SophroniusTella	Sophronios of Tella													ܣܦܪܘܢܝܘܣ ܕܬܠܐ					M		633	7	657	63																	https://en.wikipedia.org/wiki/Sophronius_of_Tella					
	1710		/Stephen	Stephen	Esṭapānōs												ܣܛܦܢܘܣ	Mar Stephanos	Mar Stephanus		#syriaca-saint	M	Martyr	633	6	657	51																	https://en.wikipedia.org/wiki/Saint_Stephen					
	1529		/TheodosiusII	Theodosius II	Tawdasis												ܬܐܘܕܣܝܣ					M	Emperor of Rome	633	6	657	51																	https://en.wikipedia.org/wiki/Theodosius_II	Theodosius 6: PLRE II 1100	Theodosius 6	673	II	1100
2309			/Valens	Valens	Wales												ܘܠܝܣ					M	Emperor of Rome	633	5	657	27													364	0364			https://en.wikipedia.org/wiki/Valens	Flavius Valens 8: PLRE I 930-31	Flavius Valens 8	672	I	930-31
2310			/Valentinian	Valentinian I	Walenṭinos												ܘܠܢܛܝܢܣ	Valentinian the Great				M	Emperor of Rome	633	5	657	27													364	0364			https://en.wikipedia.org/wiki/Valentinian_I	Flavius Valentinianus 7: PLRE I 933-34	Flavius Valentinianus 7	672	I	933-34
2311			/Vitalian	Vitalian	Biṭalyana												ܒܝܛܠܝܢܐ	Bitalianā				M		633	9	657	85													511/2		0511	0512	https://en.wikipedia.org/wiki/Vitalian_(general)	Fl. Vitalianus 2: PLRE II 1171-76	Fl. Vitalianus 2	673	II	1171-76
2312			/Vologesh	Vologesh	Walagesh												ܘܠܓܫ	Vologesh				M	Bishop of Nisibis	633	4	657	24					360/1		0360	0361														
2313			/Yahab	Yahab bar Shemesh													ܝܗܒ ܒܪ ܫܡܫ 					M	Scribe of Edessa	633	3	657	8													November 201	0201-11								
