	Syriaca ID	Syriaca match notes	Work?	Anon?	Group?	ID	CHK	Century	certainty	VIAF ID	URL1	URL2	URL3	URL4	Born	Died	Flourished	Denomination	Baumstark (p)	Macuch	Barsaum (#)	Abuna (p) 1st ed.	Pat Syr §	Duval (p)	BO (vol p)	Chabot (p)	Wright (p)	Brock (p) Rev. ed.	English	French	German Full	German Given	German Family	German Titles	Baumstark Questions/Notes	Latin	Locations	Affiliations	Offices	Known associates	Biographical Sources
Moses of Aggel	64					169	x	6									late 6th	W	160-161		60				II.82-3		112-13										Aggel				
Aḥudemmeh	67					16	x	6	yes	45521124, 89786411	http://viaf.org/viaf/45521124	http://viaf.org/viaf/89786411				575? [B] [PS] [C]		W	178		62		116			77		38		Ahoudemmeh						Ahudemmeh	Sasanian Empire [B]; Bēt ‘Arbāyē, Mesopotamia [PS]; Balad [C], Tagrit		Bishop, Missionary, [PS]		
Sergius of Nicaea	68					426	x	6									577	W			63																				cf Wright Cat BL II.714
Jacob Baradaeus	69					116	x	6	yes	69321860	http://viaf.org/viaf/69321860					c.578 [C]		W [PS]	174-175		64		111		II.62-9	73-74	85-8			Jacques Baradee						Jacobus Burde'ana (Baradaeus)	Mt. Izla, Byzantium, Damian [PS]; Tella, Constantinople , Edessa , Syria, Mesopotamia, Cilicia, Cappadocia [C]	Monastery of Phesilta [PS]	Priest of Tella, Bishop of Edessa [C]	Son of Theophilus bar Manou	
Kyriakos of Tella	70					427	x	06 ?									pre C 10	W	181		65																				
Sergius bar Karya	71					345	x	6										W	184-185		66																				
Cyrus of Batna	73					344	x	6										W	182-183																						
John of Ephesus	74					136	x	6	yes	34491098, 118918325	http://viaf.org/viaf/34491098	http://viaf.org/viaf/118918325			c.507 [B]	c.588 [B]; 586 [PS]		W	181-182		69		115		II.83-90	74-76	102-7	37		Jean d'Ephese						Ioannes Ephesi (aut Asiae)	Amid, Antioch, Egypt and Constantinople, Asia Minor, Ephesus [B]; Chios, Scya [PS]; Amid [C]	Monastery of Mar John Ultaya at Alllid [B]; Monastery of Marion the Stylite	Bishop of Asia or Ephesus, Metropolitan of Ephesus [B]; Deacon [C]	Jacob Baradaeus [B]	
Peter of Kallinikos	75					179	x	6								591; April 22 591 [PS]	578-91	W	177		70		113		II.69-82	78-79	113-4	37-38	Peter of Kallinikos	Pierre de Callinique						Petrus e Callinico	Antioch; Egypt, Monastery of Gubbā Barrāyā [PS]	Monastery of Anania [PS]	Patriarch of Antioch		
Julian II	76					343	x	6								594		W	178		71																Qinneshre		Patriarch		
Simeon of Edessa	80					199	x	6										W [PS]	179-180		75		46													Simon Edessae			Nosokomos of Edessa		Cf Wright Cat BL 712, BL Add 12172
Sergius the Stylite of Gusit	81					192	x	8										W [B]	180		76		45					51								Sergius Stylita	Not far from Emesa [PS				
Paul of Tella	82					177	x	6-7	yes	15162880, 98109090	http://viaf.org/viaf/15162880	http://viaf.org/viaf/98109090						W	186-188		77		119													Paulus ep. Tellae	Alexandria [PS]		Bishop [PS]	Athanasius I, Thomas the Deacon [PS]	
Thomas the Synkellos	83					428	x	6-7										W	186		78																			Paul of Tella; Pat Athanasius I	
Paul of Edessa	84					175	x	6-7										W	190		79		121													Paulus ep. Edessae	Edessa [PS]	Cyprus [PS]	Bishop [PS]		
Kyriakos of Amida	85					430	x	6-7								622/3		W	181		80																				
Thomas of Ḥarqel	87					219	x	6-7										W	188-189		82		120		II.90-95		16 etc									Thomas e Harqel (Heraclea)	Mabbug, Egypt [PS]	Monastery of Tar‘il, Monastery“of the ninth mile”  [PS]	Bishop of Mabbug		
Athanasios I Gamala	88					23	x	6-7								630 or 631 [PS]		W [PS]	185-186		83		118						Gammala [PS]							Athanasius I Patriarcha	Samosata, Antioch, Mabbug [PS]	Monastery of Qennešrīn [PS]	Patriarch of Antioch [PS]		
Severus of Samosata	89					431	x	6-7										W			84																				
Thomas	90					401	x	7										W	247		85																				
ʿAmmoy	91					400	x	7										W	246		86																				
John I of the Sedre	92					133	x	7								Dec 14, 648 [PS]		W	243-245		87		124					43								Ioannes (Johannan) II Patriarcha	Antioch [PS]	Monastery of Eusebona [PS]	Patriarch [PS]		
Marutha of Tagrit	93					162	x	7								2.5.649		W [B]	245		88		125	61, 373		81-82	136-37	43-44		Marouta						Marutha Tagrithesis	Shurzaq, Byzantine empire [PS]; Beit Nouhadre , Callinicus, Akoula, Tagrit [C]	Monastery of Mar Zakkai, Kallinikos; Monastery of Mar Mattai [B]; Monastery of St. Samuel [PS]	Maphrian of Tagrit [B]	Maphrian Denha (successor) [B]	Maphrian Denha (successor) [B]
John of Bosra	94					432	x	6-7								650		W			89																				Liturgist
John Naqar	96					271	x	08 ?									before 9th century	Syr. Orth.			91																				cf EDSH
Denḥa	97					251	x	7								3.11.660		W	245		92																			Marutha of Tagrit (wrote his life)	
Januarios Kandidatos	98					121	x	7										W [PS]	259		93		134													Januarius Candidatos	Amid [PS]				
Severus Sebokht	99					194	x	7	yes	47099010	http://viaf.org/viaf/47099010					666/7 [B] [C]		W [B]	246-247		94		126			82-83		45		Severe Sebokt						Severus Sebokt	Qenneshre [B]	Monastery of Qenneshre [B]	Bishop of Monastery of Qenneshre [B]		
Aitallaha of Kallinikos	100					434	x	07 ?										W	276		95										Ait(h)allàhā	Ait(h)allàhā					Kallinikos	Monastery of Mor Zake			Anti-nestorian polemicist
Jonan of Tella	101					145	x	7										W [PS]	259		96		133													Jonas ep. Tellae	Tella [PS]		Periodeutes, Bishop [PS]		
Severus the Synkellos	103					435	x	7										W			98																		Synkellos; then bishop	Pat John III	
Sabroy of Ramatshir	104					398	x	8										W	245		99																				
Gabriel bar Sabroy	105					438	x	8										W	245-246		101																				
Severus II bar Mashqa	106					402	x	7								683/4		W	256		102																				
Athanasios II of Balad	109					24	x	7								Sept 11, 686 [PS]		W [PS]	256-257		105		130			83-84				Athanase de Balad						Athanasius II e Balad, Patriarcha	Qenneshrin , Antioch [PS]; Balad, Beit Malka, Nisibis [C]	Monastery of Qenneshrin, Synod of Rēš‘aynā of 683 or 684 [PS]	Patriarch [PS]	Severus Sēbōkt [PS]	
Abraham Naḥshirtana	110					230	x	07 ?								686		W	329		106																				
Simeon of Qenneshre	112					200	x	7										W [PS]	247		108		128														Qenneshre [PS]		Priest [PS]		
Jacob of Edessa	113					120	x	7-8	yes	50027842	http://viaf.org/viaf/50027842				c.640 [B]; 633 [PS]	c.708 [B]; June 3, 708 [PS]; June 5 708		W [B]	248-256		109		129		I.468-94	84-88		49-50		Jacques d'Edesse	Jaʿqôb(h) von Edessa	 Jaʿqôb(h) 		von Edessa		Jacobus Edessae	Antioch, Alexandria Edessa [B]; ‘Ēn Dēbā, Kayshum [PS], Tell'Ada [C]	Monastery of Qennershre, Monastery at Kaisum, Monastery of Eusebona, Monastery of Tell 'Ada [B]; Monastery of Mār Ya‘qūb [PS]; Monastery of St. Jacob [C]	Bishop of Edessa; teacher at monastery of Eusebona [PS]	Severus Sebokht [B]; Periodeutes Cyriacus, Daniel and Constatine (disciples) [PS]; Athanasius [C]	
Simeon of Tella	115					436	x	7-8									710	W			111																				60 pp reply to Addai in Canons of Basibrina
Elijah I, Patriarch	119					66	x	8								724 [C]	709-24	W	269		115				II.95-97	89	161-2			Elias							Apamee [C]	Monastery of Goubba-Barraya [C]	Jacobite Patriarch; Monk , Bishop [C]		
Saba of Rishaina	121					278	x	7-8										W	259-260		117		136																		
George, Bishop of the Arab Tribes	122					81	x	7-8								Feb 724 [B] [C]		W [B]	257-258		118		131		I.494-95	88		50-51		Geroges des Arabes						Georgius ep. Arabum	Border between Syria and Mesopotamia [PS]		Bishop [B]	Disciple of Athanasius II [B]	
Constantine of Edessa	126					439	x	7-8								735		W			126																		Bishop of Edessa	Jacob of Edessa	anthology of poems by C. Now in Patriarchal library
John of Litarb	127					137	x	8								737? [C]		W [PS]	258-259		127		132			89				Jean le Stylite						Ioannes e Litarba	Litarb [PS]			Jacob of Edessa, George of the Arabs [PS]	
Daniel bar Moses	128					406	x	8										W	273		128																				
John bar Samuel	129					405	x	8										W	273		129																				
Phocas bar Sergius of Edessa	130					181	x	8										W	271-272		130				I.468		93														
John (Iwannis) II	132					113	x	8								754 [PS]		W [PS]	269		132		138													Ioannes (Iwannis) II Patriarch	Ḥarran [PS]		Patriarch [PS]		
Elijah of Sinjar	133					440	x	8									758	W	272		133																				
Lazarus of Beth Qandasa	136					153	x	8										W	271		135					90-91				Lazare de Beit Kandasa							Beit Kandasa [C]				
George of Bʿeltan	139					85	x	8								780-790 [PS]; 790 [C]		W [PS]	269-270		138		139			91-92				Georges de Belthan						Georgius (Giwargis) a Ba‘eltan, Patriarcha	Ba‘eltan [PS]	Monastery of Qenneshre [PS]	Deacon, Patriarch [PS]		
Elijah of Salamya	141					408	x	9										W	277		140																				
Theodore bar Zarudi	142					442	x	8-9										W	272		141																Edessa				cf Wr Cat BL 2, ms 629, p.500
Simeon bar ʿAmraye	143					404	x	8-9								815		W	273		142																			disciple of Pat Kyriakos	
David bar Paulos of Beth Rabban	144					56	x	8										W	272-273		143					91				David							Beit Rabban, Nineveh [C]		Monastery of Mount Singar [C]	Son of Paul [C]	
Kyriakos of Tagrit	145					49	x	8-9								817 [C]	793-817	W	270-271		144				II.116-17	92	165-66			Cyriaque							Mosul, Pilier [C]	Monastery of Pilier, Synod of Beit Botin [C]	Jacobite Patriarch; Monk  [C]		
Athanasios	146					443	x	8-9									818	W	271		145																				Or was this a Greek author, translated with scholia on Ps-Denys? (Jerus Mkl 2*. 1e)
Lazarus bar Sabta	149					152	x	9										W	278		148					94			Philoxenus [C]												
Theodosius of Edessa	150					215	x	9								832		W	276		149					93				Theodose							Edessa [S]		Metropolitan [C]	Brother of Patriarch Dionysius	
Thomas the Stylite	151					444	x	9									837	W			150																				
Benjamin of Edessa	152					407	x	9										W	276		151																				
Basilios of Samosata	153					446	x	9								843		W			152																				
Anton of Tagrit	154					20	x	9		35993450, 107784733				http://viaf.org/viaf/107784733				W [B]	278		153					94		57-58		Antoine							Tagrit [C]				
Dionysios of Tel Maḥre	155					58	x	9								22nd Aug. 845		W	275-276		154		162		II. 98-116	92-93	196-203			Denys de Tallmahre						Dionysius e Tellmahre Patriarcha jacobita	Tell-Mahre, Qenneshre	Monastery of Qenneshrin [PS]	Jacobite Patriarch; Monk [PS]		
Nonnus of Nisibis	156					174	x	9									Mid 9th [B]	W [B]	277-278		155							57									Nisibis [B]		Archdeacon of Nisibis [B]		
Arabi of Samosata	158					447	x	9								850	839	W			157																				
John (Iwannis) of Dara	161					144	x	9	no	48370261, 32931212	http://viaf.org/viaf/48370261	http://viaf.org/viaf/32931212					Early 9th	W	277		160				II.118-123	93	205-5	56	Iwannis	Jean de Dara							Dara		Bishop of Dara	Patriarch Dionysius of Tellmahre? [B]	
Simeon of Ḥisn Mansur	163					448	x	9										W	279		162																				
Severus of Edessa	164					277	x	9									861	W	279		163						34-35										Edessa				Catena on OT
Daniel of Beth Batin	165					409	x	9										W	283		164																				
Isaac of Nisibis	166					449	x	09 ?										W			165																				
John IV	167					450	x	9								873		W			166																		Patriarch		
Ignatios II	168					451	x	9								883		W			167																				
Theodosius (Romanos)	169					212	x	9								896		W	280		168					95	77		Romanus [C]	Theodose								Monastery of Cartemin [C]	Patriarch, Monk [C]		
Zʿura of Nisibis	170					452	x	09-10 ?										W			169																				
Garshon the Stranger	171					453	x	10 ?										W			170																				
Job of Manimim	172					454	x	9-10										W			171																				
Moses bar Kepha	173					171	x	9	yes	67257819, 61565797	http://viaf.org/viaf/67257819	http://viaf.org/viaf/61565797			c.833	12 Feb 903 [C]		W	281-282		172				II. 127-131	95-96	207-211	58-60	Severe [C]	Moyse bar Kepha							Balad, Beth Raman, Beth Kiyonaye, Mosul [B]	Monastery of Mar Sargis [B]	Bishop of Beth Raman [B]		
Ezekiel of Melitene	174					455	x	9-10								905		W			173																		Metropolitan of Melitene		
Dionysios II	175					456	x	9-10								909		W			174																		Patriarch		
Jacob of Maiperqaṭ	179					457	x	10								967		W	312		179																				
Abū Zakaryā Yaḥyā b. ʿAdī	180																		231																						
Athanasios of Qallisura	181					458	x	10								982		W			181																				
Matthew of al-Hassasa	182					459	x	10 ?										W			182																				
Athanasios IV of Salah	186					460	x	10-11								1002		W			186																		Patriarch		
John of Marun	187					139	x	10-11	yes	48576222, 22177088	http://viaf.org/viaf/48576222	http://viaf.org/viaf/22177088				1003 [C]		W	291		187				I.496	115			Ocean of Wisdom [C]	Jean de Maron							Maron; Melitene [C]	Monastery of Goubos, Monastery of Elias bar Gagai, Monastery of Aaron [C]	Teacher at Monastery of Goubos [C]		
Mark bar Qiqi	189					159	x	10-11								1016		W	291		189					115			Ignatius	Marc bar Kiki											
Lazarus the monk	190					283	x	10-11								1024		W	291		190																				
Joseph of Melitene	192					284	x	11								1058		W	291		192																				
John X, Isho bar Shushan	193					287	x	11								6 or 27.11.1072		W	291		193					120-121													Patriarch		
Sergius the monk	197					461	x	11 ?										W			194																				
Ignatius of Melitene	198					286	x	11-12								1.10.1104		W	291		195					121															
Saʿid bar Sabuni	199					188	x	11										W	292-293		196								John[C]	Said bar Sabouni							Melitene [C]				
Dionysios John bar Modyana	200					462	x	11-12								1120		W			197																				
Eudochus of Melitene	204					291	x	12										W	294-295		201																				
Timothy of Gargar	205					348	x	12								1143		W	191		202																				
John bar Andrew	206					289	x	12								1156		W	294		203																				
Ṣaliba of Qarikara	207					463	x	12								1146?		W			204																				
Ignatios II, Lazarus bar Hasan	208					464	x	12								1164		W			205																		Maphrian of the East		
John of Mardin	209					138	x	12								12.7.1165		W	293-294		206					121-122				Jean de Mardin							Mardin, Harran [C]				
Basilios Abu-l-Faraj bar Shummana	210					288	x	12								1169		W	293		207					122											Kaisoum, Edessa [C]		Metropolitan, Bishop		
John (Iwannis) of Kaishum	211					290	x	12								24.9.1171		W	294		208																				
Dionysios bar Ṣalibi	212					57	x	12	yes	66823251, 119223052	http://viaf.org/viaf/66823251	http://viaf.org/viaf/119223052				2.11.1171		W	295-298		209		163		II.156-211	122-125	246-50	61-62	Jacob bar Salibi [C]	Denys bar Salibi						Dionysius Bar Salibi	Melitene, Amid, Mar'ash [B]		Bishop of Mar'ash,Metropolitan of Amid [B];  Bishop of Amid		
Athanasios Abu Ghalib	213					413	x	11-12								1129 [Baumstark]; 1177 [Barsaum]		W	292-293		210																				
Aaron the Monk	215					465	x	12									1183	W			212																				Only Arabic trans of his letter survives.
Theodore bar Wahbun	216					213	x	12								1192/3 [C]		W	300-301		213					127-128				Theodore bar Wahboun							Melitene [C]	Monster of Barsauma, Cilicia [C]		Disciple of Michael the Syrian [C]	
Michael I the Great	217					166	x	12							1126 [C]	7.11.1199	1166-99	W	298-300		214		164		II.154-56	125-127	250-54	62-63		Michel le Syrien						Michael I (1199) Patriarcha jacobita	Melitene [B]	Monastery of Barsuama [B]	Jacobite Patriarch, Superior of the Monastery of Barsauma [B]	Son of Elias [C]	
John David of Amid	219					466	x	12-13								1203		W			216																		Bishop		
Ignatios Sahdo of Jerusalem	220					467	x	12									1149	W			217																Edessa; Jerusalem		Metropolitan of Jerusalem		
Abraham of Tallbsam	221					468	x	12-13								ca. 1207		W			218																				
Gregory Jacob	222					292	x	12-13								1214		W	301-302		219																		Maphrian		
Michael II, Isho Sephtana [Anti Pat]	223					293	x	12-13										W	302		220																				
John XIV (XII), Ishoʿ bar John the Scribe	224					294	x	12-13								1219/20		W	302		221																		Patriarch		
Jacob John (Iwannis) ibn Shakkoko	229					414	x	12-13								after 1231		W	294		226																		Metrop of Mardin, Nisibis, Kabur and Harran		
Jacob (Severus ) bar Shakko of Bartella	231					119	x	13								1241		W	311-312		228					130		64		Jacques bar Schakako							Bartella, Mosul [B]	Monastery of Beth Qoqe, Monastery of Mar Mattai [B]	Bishop [C]	Iohannan bar Zo'bi, Kamal aI-Din Musa ibn Yunus [B]	
Gregory John of Mar Mattai	233					470	x	13									1241	W	329		230																		Metrop of Mar Mattai		
Basilios of Basibrina	234					471	x	13									1254	W			231																				
John bar Maʿdani	236					2	x	13								1263		Syr Orth	307-308		233					130			John [C]	Aaron bar Madani							Madani [C]		Bishop, Patriarch  [C]		
Dionysios Saliba (Harifa) of Claudia	237					472	x	13								1273		W			234																		Bishop of Claudia		
Dioscorus Theodore of Hisn Ziyad	238					473	x	13								after 1275 (maybe until 1282)		W			235																				
Gregory Abu-l-Faraj, Bar ʿEbraya [Bar Hebraeus]	239					89	x	13	yes	81959220	http://viaf.org/viaf/81959220				1225 or 1226 [PS]	1286 [PS] [C]		W	312-320		236		165			131-137		64-69								Gregorius Abu-l-Farag, Barhebraeus	Melitene [PS]; Antioch, Tripoli, Goubos, Maraga [C]	Monastery of Barsauma [C]	Maphrian [PS]; Bishop [C]	Aaron, Barsauma [C]	
Abu Nasr (Zakhi) Habbo Kanni of Bartella	241					474	x	13								ca. 1290		W			237																				
Abu al-Hasan ibn Mahruma of Mardin	242					475	x	13-14								alive Dec 1299		W			238																				
Dioscorus Gabriel of Bartella	243					476	x	13-14								7.Sept.1300		W	320		238							70											Bishop of Gazarta of Qardu		
Thomas the Stylite of Hah	244					477	x	13-14 ?										W			240																				
Grigorios Barṣawma al-Ṣafī	245					235	x	13-14								1307/8		W	320		240																				
Ishoʿ bar Kilo	246					478	x	13-14								after 1309		W			242																				
Michael II, Barsawma	247					417	x	13-14								1312		SyrOrth		11	243																Kuwaykhat monastery		Patriarch		
Cyril Simeon Alini of Hah	248					418	x	13-14								after 1333		SyrOrth	329	11	244																		Bishop of Hah		According tO barsoum, it is Alini
Ignatios I (V) Zakhi bar Wahib	249					301	x	13-14								19.4.1333		W	320	11-12	244																				According tO barsoum, it is Wuhayb
Ishoʿ bar Khayrun	250					266	x	13-14								1335		W	327?	12	246																				cf EDSH
Saliba bar Khayrun	251					480	x	13-14								1340		SyrOrth		12	247																				
ʿAbd Allah of Bartella	252					481	x	13-14								1345		SyrOrth		12-13	248																				
Abu al-Wafa of Hisn Kifa	253					482	x	14										SyrOrth		13	249																				
Abraham of Mardin	254					483	x	14								1365		SyrOrth		13	250																				
Joseph (Dionysios) ibn Gharib of Amid	255					484	x	14								1375		SyrOrth		13	251																				
Daniel ibn Isa of Mardin	256					485	x	14							1327	1382		SyrOrth		13	252																				
Abraham II Gharib	257					229	x	14-15							1382	1412		W		14	253																				
Isaiah of Beth Sbirina	259					274	x	14-15								1425		W	326-327	10-11	254							70													
Sahda the Priest	260					486	x	14-15										SyrOrth		19	256																				
Simeon of Amid	261					487	x	14-15								ca. 1450		SyrOrth		19	257																				
Qawma of Beth Sbirina	262					488	x	14-15								1454		SyrOrth		19	258																		Patriarch of Tur Abdin		
Ignatios V (IX), Behnam of Ḥidl	263					237	x	14-15								1454		W	327	14	259																		Patriarch		
Barsawma Madani	264					489	x	14-15								1455		SyrOrth		19	260																		Maphrian of the East		
John of Beth Sbirina	265					513	x	14-15										Syr Orth		19	999																				See Dolabani, Syr trans of Barsoum, no. 271
Hasan bar Zurqo of Mosul	266					514	x	15										Syr Orth		19-20	999																				See Dolabani, Syr trans of Barsoum, no. 272
Gharib of Manimim	267					490	x	15								after 1476		SyrOrth		20	261																				
Abu-l-Maʿani ʿAzziz bar Sabta (Ibn al-Ajuz)	268					307	x	15								1481/2		W	327	14-15	262																				
Malke Saqo	269					491	x	15								1490		SyrOrth		20	263																				
Ishoʿ of Bet Sbirina	270					275	x	15								1492		W		20-21	264							70													
Ignatios VII (XI) John XIV ibn Shay Allah	271					308	x	15								1493		W	327	16	265																				
John George of Beth Sbirina	272					492	x	15								1495		SyrOrth			266																		Bishop		
David the Phoenician	273					239	x	15								pre 1500?		W	328	17-18	267							71													
Addai of Beth Sbirina	274					494	x	15-16								1502		SyrOrth		21	268																				
Sergius bar Joseph of Hah	276					495	x	15-16								1508		SyrOrth		21	269																				
Noah the Lebanese	277					256	x	15-16								11.4.1508 [Baumstark]; 28 July 1509 [Barsaum]		W	327-328	17	270							71											Patriarch		
Aziz of Midyat	278					496	x	15-16								1510		SyrOrth		22	271																				
