zotero,authorabbr,titleabbr,"

titleexp",uritype,
99,,OCA,Orientalia christiana analecta,Series,Individual
100,,OCP,Orientalia christiana periodica,Journal,
101,,OLP,Orientalia lovaniensia periodica,Journal,
102,,OS,L'Orient syrien,Journal,Individual
108,Peeters,Passion,,,
109,Peeters,Passionnaire,,,
104,,PdO,Parole de l'Orient,Journal,Individual
110,,PO,Patrologia orientalis,Series,Individual
111,,POC,Proche-Orient chrétien,Journal,
63,Fiey,Réhabilitation,,,
97,Nau,Résumé,,,
116,,RHPO,Recherches d'histoire et de philologie orientales,,
117,,RHR,Revue de l'histoire des religions,Journal,
118,,ROC,Revue de l'Orient chrétien,Journal,Individual
119,,RSO,Rivista degli studi orientali,Jounal,
66,Fiey,Sainnts serge,,,
45,Devos,Sainte Sīrīn,,,
65,Fiey,Saintes femmes,,,
64,Fiey,Saints,,,
139,Vööbus,Sammlungen,,,
123,,SC,Sources chrétiennes,Series,Individual
127,,SeT,Studi e testi,Series,
130,,SH,Subsidia hagiographica,Series,
132,,SOCC,Studia orientalia christiana Collectanea,Series,
115,Rahmani,Studia syriaca,,,
133,,Šuhadā',,,
129,,Synaxaire arabe jacobite,,,
72,Guidi,Synaxaire éthiopien,,,
39,Daher,Synaxaire maronite,,,
91,Mounayer,Synodes,,,
32,Chabot,Synodicon orientale,,,
68,Fiey,Topography,,,
134,,TRE,Theologische Realenzyklopādie,MV,
87,Macler,Vie de saint Azizaël,,,
135,,Vie de Samuel,,,
136,,Vies des Saints,,,
22,Brooks,Vitae virorum,,,
5,Armalet,Voyage,,,
141,,ZA,Zeitschrift für Assyriologie,Journal,
142,,ZDMG,Zeitschrift der Deutschen Morgenländischen Gesellschaft,Journal,Individual
7,Bar Bahlūl,,,,
10,Barsaum,,,,
13,Benni,,,,
33,Cheikho,,,,
67,Fiey,,,,
69,Fromage,,,,
74,Honigmann,,,,
81,Lagrange,,,,
83,Leclercq,,,,
88,Mārī ,,,,
92,"Nau/Nau I, II, etc",,,,
112,Pseudo-Denys,,,,
113,Qaraqōš,,,,
131,Ṣlīwa,,,,
